k,k_over_pi,band_1,band_2,band_3,band_4
-3.141592653589793,-1.0,4.903594335817928,4.965960803254728,44.413232105142974,44.41323213566308
-3.0892327760299634,-0.9833333333333334,4.768725102787381,5.103571589642356,43.92112283419134,44.90808296638629
-3.036872898470133,-0.9666666666666667,4.609798896885238,5.270722455612191,43.431755107833055,45.405675372062326
-2.9845130209103035,-0.95,4.452649465036616,5.441579654230778,42.94512894141241,45.90600933735513
-2.9321531433504737,-0.9333333333333333,4.297997032176912,5.615422960548669,42.46124433501704,46.40908486219087
-2.8797932657906435,-0.9166666666666666,4.145987993248518,5.7921059796032806,41.98010128873743,46.91490194649839
-2.827433388230814,-0.9,3.9966713579739213,5.971579701646236,41.50169980266744,47.423460590208926
-2.775073510670984,-0.8833333333333334,3.850068169696244,6.153823083302554,41.02603987690468,47.93476079325585
-2.722713633111154,-0.8666666666666666,3.706188960475398,6.338825592474893,40.55312151154991,48.44880255557456
-2.670353755551324,-0.85,3.5650395848863465,6.526581374544898,40.082944706707615,48.96558587710275
-2.6179938779914944,-0.8333333333333334,3.426623556983596,6.7170869154079496,39.615509462486855,49.48511075777998
-2.5656340004316647,-0.8166666666666668,3.2909431135322356,6.910339978243136,39.15081577899983,50.00737719754797
-2.5132741228718345,-0.8,3.1579997459499753,7.106339071570767,38.688863656363665,50.53238519634967
-2.4609142453120048,-0.7833333333333333,3.027794486860279,7.305083162698225,38.22965309470012,51.06013475413049
-2.408554367752175,-0.7666666666666667,2.9003280738906287,7.506571513923261,37.773184094135004,51.590625870837144
-2.356194490192345,-0.75,2.775601047972984,7.710803584231864,37.319456654799716,52.123858546418276
-2.303834612632515,-0.7333333333333334,2.653613814793362,7.9177789678485215,36.86847077683063,52.65983278082365
-2.2514747350726854,-0.7166666666666668,2.5343666845607635,8.127497354468494,36.42022646036907,53.19854857400499
-2.199114857512855,-0.7,2.417859898520472,8.339958502743098,35.97472370556294,53.74000592591531
-2.1467549799530254,-0.6833333333333333,2.3040936470974094,8.555162222135765,35.531962512565926,54.284204836508714
-2.0943951023931957,-0.6666666666666667,2.193068082598498,8.773108360221437,35.09194288153702,54.831145305741124
-2.0420352248333655,-0.65,2.084783328284033,8.993796793612132,34.6546648126432,55.38082733357013
-1.9896753472735358,-0.6333333333333334,1.9792394849668002,9.217227421359905,34.220128306057816,55.933250919953316
-1.9373154697137058,-0.6166666666666667,1.876436635889827,9.443400160077344,33.78833336196124,56.48841606485072
-1.8849555921538759,-0.6,1.7763748503845929,9.672314940279882,33.35927998054214,57.04632276822281
-1.8325957145940461,-0.5833333333333334,1.6790541866499877,9.903971703605984,32.93296816199661,57.60697103003126
-1.7802358370342162,-0.5666666666666667,1.5844746938922953,10.138370400676454,32.50939790652998,58.17036085023969
-1.7278759594743862,-0.55,1.4926364139875359,10.375510989432271,32.08856921435642,58.736492228811684
-1.6755160819145565,-0.5333333333333333,1.4035393827882208,10.61539343382817,31.67048208569916,59.30536516571187
-1.6231562043547265,-0.5166666666666667,1.3171836311599392,10.858017702792944,31.25513652079199,59.876979660906855
