temperature,energy_per_spin_mc,specific_heat_mc,ice_fraction_mc,monopole_fraction_mc,double_charge_fraction_mc,energy_per_spin_exact,specific_heat_exact,ice_fraction_exact,monopole_fraction_exact,double_charge_fraction_exact,entropy_per_spin_exact
0.35,-0.4976318359375,0.03539167131698904,0.995263671875,0.004736328125,0.0,-0.49781062497205086,0.03558838428802182,0.9956212500619608,0.004378749898752868,3.9286368664086605e-11,0.4552923157149823
0.5727272727272726,-0.48077799479166666,0.1403979750537276,0.9615559895833332,0.03844401041666666,0.0,-0.4804988680815412,0.11427590819129581,0.960998561036137,0.039001164006178375,2.7495768487647516e-07,0.49193505456367204
0.7954545454545454,-0.45099283854166666,0.12397066060798842,0.9020833333333333,0.09788411458333332,3.255208333333333e-05,-0.4512814359250831,0.13923070761299988,0.902601573942073,0.09738552536062492,1.2900697302311245e-05,0.5348045740950116
1.018181818181818,-0.42201334635416665,0.14073582368644644,0.8444173177083332,0.1554524739583333,0.00013020833333333333,-0.42101837883123855,0.12956063386613917,0.8423627334617168,0.157528607938537,0.00010865859974653302,0.5683972418013884
1.2409090909090907,-0.3941162109375,0.11235616065376115,0.78935546875,0.21027018229166666,0.0003743489583333333,-0.39413583928254736,0.11163804401906025,0.7895234291785918,0.2100593206169097,0.00041725020449901476,0.5923330876136613
1.4636363636363634,-0.3693359375,0.09355965551982867,0.74150390625,0.25755208333333335,0.0009440104166666666,-0.37116295588357806,0.09517554880190018,0.7454783860525039,0.2534707891857139,0.0010508247617826007,0.6093974613891765
1.686363636363636,-0.35056152343749997,0.08035350770579967,0.7068359375,0.291259765625,0.001904296875,-0.3514828704750408,0.08210611003679637,0.7091383109105485,0.28880416576929596,0.0020575233201556506,0.6219354973224497
1.9090909090909087,-0.33421223958333335,0.07995299324156666,0.6789225260416667,0.317578125,0.003499348958333333,-0.3343629609538863,0.07206486106844151,0.6790054354919495,0.31756805997999155,0.0034265045280589945,0.6314836624331528
2.1318181818181814,-0.31752115885416665,0.057371112919919275,0.6505208333333333,0.3443196614583333,0.005159505208333333,-0.31921337492329765,0.06428973463605295,0.6537608068187982,0.3411278408571344,0.005111352324067641,0.638997261205581
2.3545454545454545,-0.3040771484375,0.05688343349585708,0.6294921875,0.3633951822916667,0.007112630208333333,-0.30560564404062823,0.05812604945313818,0.6323642989404701,0.36058469743979227,0.007051003619737856,0.6450735839199983
2.577272727272727,-0.29075520833333335,0.052542354676209026,0.6126627604166667,0.376953125,0.010384114583333335,-0.29323664882956674,0.053101713883811234,0.6140225447937511,0.37679437282804307,0.009183082378205877,0.6500964146101089
2.8,-0.28061523437499997,0.04364011076842978,0.59599609375,0.3924153645833333,0.011588541666666665,-0.28189075691916204,0.04889560041114573,0.5981339110210468,0.3904152899180455,0.011450799060907568,0.6543211802069434
