Mach1,Mach2,p2/p1,rho2/rho1,T2/T1,u2/u1,p02/p01,ds/R
1.05,0.9531254289779215,1.1195833333333334,1.0839819746005737,1.0328431279919374,0.9225245653817081,0.9998529900951733,5.880828473682487e-05
1.1512820512820514,0.8741360149871609,1.3796920885382429,1.2572546957128206,1.0973847170688071,0.7953837861253993,0.9966117364977214,0.0013576066664899855
1.2525641025641026,0.8112019947666345,1.6637363028709182,1.4330370178722587,1.1609862705020675,0.6978186798585131,0.9867103854627941,0.005351484689244734
1.353846153846154,0.7599844577146488,1.9717159763313614,1.6094772939831659,1.225066040821067,0.6213197314049584,0.9689159406739167,0.012630967753908595
1.4551282051282053,0.7175935662130848,2.303631108919571,1.7849765312426034,1.2905666089155292,0.5602314554263941,0.9433686714998941,0.023319246704262442
1.5564102564102564,0.6820220663889904,2.6594817006355473,1.9581876594956904,1.3581342358783262,0.5106762853655911,0.9109563482095264,0.03730411968615999
1.6576923076923078,0.6518281685050352,3.0392677514792905,2.1280049488220776,1.4282240053819553,0.46992371918755815,0.8729348110461997,0.054357759308710785
1.758974358974359,0.6259474777961623,3.4429892614508,2.293546563387421,1.5011638814804467,0.43600597256811924,0.8306867726641485,0.07420099335358676
1.8602564102564103,0.6035760987896316,3.8706462305500775,2.4541328721038056,1.5771950551446572,0.40747589968213493,0.785569395477074,0.0965385918312689
1.9615384615384617,0.5840950911164352,4.322238658777121,2.6092626651061694,1.6564981044563607,0.3832500320389594,0.7388230599054818,0.1210787273978462
2.0628205128205126,0.5670200172040962,4.79776654613193,2.7585889312880165,1.7392103954726588,0.3625041732959788,0.6915230852683586,0.14754349763941943
2.1641025641025644,0.5519662869733066,5.29722989261451,2.901895390932868,1.8254379221132493,0.3446023599350118,0.6445610849013885,0.1756742729395
2.2653846153846153,0.5386247676642516,5.820628698224852,3.0390745794040486,1.9152635271511687,0.32904753531783887,0.598645899314435,0.20523400349237386
2.3666666666666667,0.5267442501304702,6.367962962962963,3.1701079551409705,2.0087527153881384,0.31544667063413345,0.5543165685481446,0.23600773282516752
2.467948717948718,0.5161186066677005,6.939232686828841,3.2950482577203095,2.1059578325052435,0.30348569179738005,0.5119618523697848,0.26780206552347363
2.569230769230769,0.5065772282413127,7.534437869822484,3.4140041620761417,2.20692111436695,0.2929111836207824,0.47184246266199403,0.30044404586212825
