Q,omega_peak,amplitude,gamma,background,omega_guess
0.05,1.8522697426220498,5.337521713991973,1.2315557681659839,-1.555084707233436,2.067953667953668
0.06304347826086956,1.9723552581073025,5.515704232237432,1.7290817910266094,-2.452915925297456,2.5235521235521237
0.07608695652173914,2.3879675482568485,4.528724551983441,1.5763915864974685,-2.0289053289672765,2.7969111969111973
0.0891304347826087,2.898373986415635,2.7549760976923188,0.5750796494260291,0.019045300384945528,3.024710424710425
0.10217391304347825,3.18155834938174,3.224490068034992,0.49363597165101136,-0.15937794732846666,3.2069498069498072
0.11521739130434783,3.4614847385736955,3.293722168005533,0.46895606844367,-0.1939653807539185,3.434749034749035
0.12826086956521737,3.7148411895969162,3.6819952139758643,0.5341208534518495,-0.5607878142188804,3.7081081081081084
0.14130434782608697,3.9663924340929557,3.7240253775228673,0.5546758623721364,-0.5921744073027252,3.9814671814671816
0.15434782608695652,4.204509494685381,3.7339084267755007,0.5652662042638041,-0.6841641515823065,4.254826254826255
0.16739130434782606,4.479184455825311,3.9371310246372007,0.5506084333710969,-0.747155625782288,4.482625482625483
0.18043478260869567,4.7208461171921705,3.8637117761029134,0.5642305103871762,-0.7729033975192735,4.801544401544402
0.1934782608695652,4.966255631064435,3.9517556829350564,0.5252064131675157,-0.748038790988453,4.983783783783784
0.20652173913043476,5.19895255837257,3.790152446100253,0.5817909699182581,-0.7944692844692838,5.211583011583012
0.21956521739130436,5.446343114061041,3.8795859731192524,0.5539809781333849,-0.8362225603859942,5.484942084942086
0.2326086956521739,5.675550071452454,3.875003238928037,0.5567224738229609,-0.8826720165322242,5.712741312741313
0.24565217391304345,5.899984409659607,3.791066990396325,0.5492426538220908,-0.8342727033738631,5.940540540540541
0.25869565217391305,6.111135611398644,3.7347478146699284,0.5816817016570757,-0.9258661978044357,6.122779922779923
0.2717391304347826,6.314876000786011,3.763384548610765,0.5579353504637173,-0.9155769771008588,6.396138996138997
0.28478260869565214,6.500133973353411,3.561990057774936,0.5320030457921056,-0.7829999428492999,6.487258687258688
0.29782608695652174,6.680155862996542,3.5160841544906885,0.5119732437840366,-0.7567747862082772,6.6694980694980694
0.3108695652173913,6.8784605191245625,3.4387489862005167,0.4711958506737809,-0.7105567806776609,6.897297297297298
0.32391304347826083,7.040972009135214,3.139922092578682,0.5019243132917748,-0.6745500813167429,7.033976833976834
0.33695652173913043,7.203877114651043,3.028558215055075,0.44754359092922036,-0.5369560952434089,7.170656370656371
0.35,7.341434141691381,2.7923100311986864,0.4400328171065569,-0.44445619261545505,7.352895752895753
0.3630434782608695,7.497136463309765,2.546032707459494,0.4002963052347129,-0.28630197305381205,7.489575289575289
0.3760869565217391,7.6266914891644255,2.2382836904183594,0.4074648056325807,-0.16333057096144935,7.626254826254827
0.38913043478260867,7.765570990854122,2.035733938455454,0.4334342002740168,-0.09788934011972086,7.762934362934363
0.4021739130434782,8.305605824120576,4.2419825571536185,2.442076121382557,-2.9999999999983142,7.8996138996139
