x_mm,Ey_norm
0.0,0.0
0.1905,0.02617694830787315
0.381,0.05233595624294383
0.5715,0.07845909572784494
0.762,0.10452846326765346
0.9525,0.1305261922200516
1.143,0.15643446504023087
1.3335000000000001,0.1822355254921475
1.524,0.20791169081775931
1.7145,0.2334453638559054
1.905,0.2588190451025208
2.0955000000000004,0.2840153447039227
2.286,0.3090169943749474
2.4765,0.33380685923377096
2.6670000000000003,0.3583679495453003
2.8575,0.3826834323650898
3.048,0.40673664307580015
3.2385,0.43051109680829514
3.429,0.4539904997395468
3.6195,0.4771587602596084
3.81,0.5
4.0005,0.5224985647159488
4.191000000000001,0.5446390350150272
4.3815,0.5664062369248328
4.572,0.5877852522924731
4.7625,0.6087614290087207
4.953,0.6293203910498375
5.1434999999999995,0.6494480483301837
5.3340000000000005,0.6691306063588583
5.5245,0.688354575693754
5.715,0.7071067811865475
5.9055,0.7253743710122876
6.096,0.7431448254773942
6.286499999999999,0.7604059656000308
6.477,0.7771459614569709
6.6674999999999995,0.7933533402912352
6.858,0.8090169943749475
7.0485,0.8241261886220157
7.239,0.838670567945424
7.429499999999999,0.8526401643540922
7.62,0.8660254037844387
7.810499999999999,0.8788171126619654
8.001,0.8910065241883679
8.1915,0.9025852843498605
8.382000000000001,0.913545457642601
8.5725,0.9238795325112868
8.763,0.9335804264972017
8.9535,0.9426414910921784
9.144,0.9510565162951535
9.334499999999998,0.958819734868193
9.525,0.9659258262890683
9.7155,0.9723699203976767
9.906,0.9781476007338057
10.096499999999999,0.9832549075639546
10.286999999999999,0.9876883405951378
10.4775,0.9914448613738104
10.668000000000001,0.9945218953682734
10.8585,0.996917333733128
11.049,0.9986295347545738
11.2395,0.9996573249755573
11.43,1.0
11.620499999999998,0.9996573249755573
11.811,0.9986295347545738
12.0015,0.996917333733128
12.192,0.9945218953682734
12.3825,0.9914448613738104
12.572999999999999,0.9876883405951378
12.7635,0.9832549075639546
12.954,0.9781476007338057
13.1445,0.9723699203976767
13.334999999999999,0.9659258262890683
13.5255,0.9588197348681932
13.716,0.9510565162951536
13.906500000000001,0.9426414910921783
14.097,0.9335804264972016
14.2875,0.9238795325112867
14.478,0.9135454576426009
14.6685,0.9025852843498605
14.858999999999998,0.8910065241883679
15.0495,0.8788171126619654
15.24,0.8660254037844386
15.4305,0.8526401643540923
15.620999999999999,0.838670567945424
15.811499999999999,0.8241261886220158
16.002,0.8090169943749475
16.1925,0.7933533402912354
16.383,0.777145961456971
16.5735,0.7604059656000313
16.764000000000003,0.7431448254773939
16.9545,0.7253743710122875
17.145,0.7071067811865472
17.3355,0.6883545756937539
17.526,0.669130606358858
17.7165,0.6494480483301838
17.907,0.6293203910498374
18.0975,0.6087614290087209
18.288,0.5877852522924732
18.478499999999997,0.5664062369248328
18.668999999999997,0.5446390350150273
18.8595,0.5224985647159486
19.05,0.49999999999999994
19.2405,0.47715876025960824
19.431,0.45399049973954647
19.6215,0.4305110968082951
19.812,0.40673664307580004
20.002499999999998,0.38268343236508945
20.192999999999998,0.3583679495453002
20.383499999999998,0.3338068592337712
20.573999999999998,0.3090169943749475
20.764499999999998,0.2840153447039226
20.955,0.258819045102521
21.145500000000002,0.23344536385590553
21.336000000000002,0.20791169081775887
21.526500000000002,0.18223552549214728
21.717,0.15643446504023098
21.9075,0.13052619222005113
22.098,0.10452846326765329
22.2885,0.07845909572784507
22.479,0.05233595624294425
22.6695,0.02617694830787298
22.86,1.2246467991473532e-16
