frequency_ghz,propagating,beta_rad_per_m,alpha_ev_np_per_m,lambda_g_mm,v_phase_over_c,v_group_over_c,z_te_ohm
5.0,False,,88.90951529117918,,,,
5.05019305019305,False,,87.6545433386667,,,,
5.100386100386101,False,,86.36852870619903,,,,
5.1505791505791505,False,,85.0500632463164,,,,
5.2007722007722,False,,83.69761340621886,,,,
5.250965250965251,False,,82.30950398317842,,,,
5.301158301158301,False,,80.88389905526576,,,,
5.351351351351351,False,,79.41877946162064,,,,
5.401544401544402,False,,77.9119160355475,,,,
5.4517374517374515,False,,76.36083756646745,,,,
5.501930501930502,False,,74.76279216120946,,,,
5.552123552123552,False,,73.114700259206,,,,
5.602316602316602,False,,71.41309698236338,,,,
5.652509652509653,False,,69.65406069711139,,,,
5.702702702702703,False,,67.83312352344456,,,,
5.7528957528957525,False,,65.94515787123756,,,,
5.803088803088803,False,,63.98423064117877,,,,
5.853281853281853,False,,61.94341304118008,,,,
5.903474903474903,False,,59.81452826866112,,,,
5.953667953667954,False,,57.58781024817879,,,,
6.003861003861004,False,,55.25143175270289,,,,
6.054054054054054,False,,52.790834968131335,,,,
6.104247104247104,False,,50.18775275808758,,,,
6.154440154440154,False,,47.418725431489015,,,,
6.204633204633204,False,,44.45275290184517,,,,
6.254826254826255,False,,41.2473718426232,,,,
6.305019305019305,False,,37.74163286955545,,,,
6.355212355212355,False,,33.84232178445397,,,,
6.405405405405405,False,,29.393219630219527,,,,
6.455598455598455,False,,24.09163134915659,,,,
6.505791505791506,False,,17.16504489544263,,,,
6.555984555984556,False,,2.5802239877605686,,,,
6.6061776061776065,True,16.83855487394842,,373.1427877400896,8.222513483895796,0.12161731348431962,3097.670081820857
6.656370656370656,True,23.99884772124275,,261.8119578140404,5.813079638849121,0.17202585585047667,2189.963314231413
6.706563706563706,True,29.50535085855241,,212.95070637529273,4.763853928118642,0.20991407694041608,1794.688183388195
6.756756756756756,True,34.16723638604088,,183.89504015450893,4.144647478416663,0.2412750433438599,1561.4143435253573
6.806949806949807,True,38.2942245105886,,164.07657779940797,3.7254473879281687,0.26842413698831746,1403.4889620533695
6.857142857142857,True,42.04412557194608,,149.44264440528733,3.4181966033190063,0.29255192607383035,1287.7382776715372
6.9073359073359075,True,45.51024758212405,,138.06089048057729,3.180977108554418,0.3143688136927354,1198.3705030614835
6.957528957528957,True,48.75315426203029,,128.8775137175694,2.990965949064418,0.3343401486442207,1126.7875393950753
7.007722007722007,True,51.81477339179298,,121.26242953278629,2.8345389400914995,0.35279106095741963,1067.8567432786367
7.057915057915057,True,54.72553981846904,,114.81266933175334,2.7029968436230782,0.3699597364899646,1018.3008480492422
7.108108108108108,True,57.50836418154557,,109.25689500303783,2.5904915234318846,0.3860271268810019,975.9166835131184
7.158301158301159,True,60.180997573039235,,104.40480484814063,2.4929280758512324,0.401134717718858,939.1615753285231
7.2084942084942085,True,62.75751956992458,,100.11844557015746,2.4073428660300813,0.41539575193503175,906.9190324091857
7.258687258687258,True,65.24931671586474,,96.29503607739528,2.331531473849883,0.428902638122562,878.3585828729543
7.308880308880308,True,67.66574965844558,,92.85621365158941,2.263815961358457,0.4417320210958872,852.8480966292183
