theta_deg,normalized_power,power_dB
0,0.0,-120.0
15,0.04272511469741572,-13.693167627233667
30,0.17455160742943904,-7.580761474540932
45,0.39430013292121985,-4.04173076523169
60,0.6666666653649292,-1.7609125990368732
75,0.9041928933115174,-0.4373891071437844
90,1.0,0.0
105,0.9041928933115172,-0.4373891071437854
120,0.6666666653649295,-1.760912599036872
135,0.39430013292121974,-4.041730765231691
150,0.17455160742943912,-7.580761474540929
165,0.04272511469741578,-13.69316762723366
180,0.0,-120.0
