energy,dos,counts
0.060826419077447694,0.0005191649919126905,6
0.1824792572323431,0.003980264937997293,46
0.3041320953872385,0.010469827336905924,121
0.42578493354213387,0.024141172123940107,279
0.5474377716970292,0.04257152933684062,492
0.6690906098519247,0.07605767131520916,879
0.7907434480068201,0.1411263503015997,1631
0.9123962861617154,0.1869859245872207,2161
1.0340491243166108,0.21597263663567923,2496
1.1557019624715061,0.2827718655951121,3268
1.2773548006264015,0.3289775498753415,3802
1.3990076387812969,0.3220553499831723,3722
1.5206604769361924,0.31478704009639463,3638
1.6423133150910878,0.32214187748182443,3723
1.7639661532459832,0.3269008899076908,3778
1.8856189914008785,0.32006521751417366,3699
2.0072718295557737,0.3283718573847767,3795
2.1289246677106695,0.33650544225807555,3889
2.2505775058655644,0.3380629372338136,3907
2.37223034402046,0.33711113474864035,3896
2.493883182175355,0.3380629372338136,3907
2.615536020330251,0.3384090472284221,3911
2.737188858485146,0.336072804764815,3884
2.8588416966400416,0.3460234671098082,3999
2.9804945347949374,0.34931151205858857,4037
3.1021473729498323,0.3581373169211043,4139
3.223800211104728,0.32802574739016827,3791
3.345453049259623,0.2636492883929946,3047
3.467105887414519,0.22851912394023594,2641
3.5887587255694138,0.2042048968189916,2360
3.7104115637243096,0.18802425457104607,2173
3.8320644018792045,0.1680364023824075,1942
3.9537172400341003,0.15090395764928868,1744
4.075370078188996,0.13359845791886568,1544
4.197022916343891,0.12356126807522033,1428
4.318675754498786,0.10599618584884098,1225
