x,h,u,momentum
0.29125000,1.45358110,1.30573092,1.89798578
0.29375000,1.45358592,1.30571664,1.89797133
0.29625000,1.45359052,1.30570293,1.89795740
0.29875000,1.45359490,1.30568976,1.89794399
0.30125000,1.45359909,1.30567710,1.89793105
0.30375000,1.45360309,1.30566493,1.89791857
0.30625000,1.45360691,1.30565321,1.89790653
0.30875000,1.45361055,1.30564194,1.89789490
0.31125000,1.45361403,1.30563108,1.89788366
0.31375000,1.45361736,1.30562062,1.89787280
0.31625000,1.45362053,1.30561054,1.89786229
0.31875000,1.45362356,1.30560083,1.89785212
0.32125000,1.45362646,1.30559146,1.89784228
0.32375000,1.45362922,1.30558242,1.89783275
0.32625000,1.45363186,1.30557369,1.89782351
0.32875000,1.45363438,1.30556527,1.89781456
0.33125000,1.45363679,1.30555713,1.89780587
0.33375000,1.45363908,1.30554927,1.89779745
0.33625000,1.45364127,1.30554168,1.89778926
0.33875000,1.45364336,1.30553433,1.89778131
0.34125000,1.45364536,1.30552722,1.89777359
0.34375000,1.45364726,1.30552035,1.89776608
0.34625000,1.45364907,1.30551370,1.89775878
0.34875000,1.45365080,1.30550726,1.89775167
0.35125000,1.45365245,1.30550102,1.89774475
0.35375000,1.45365402,1.30549497,1.89773801
0.35625000,1.45365551,1.30548911,1.89773144
0.35875000,1.45365693,1.30548343,1.89772503
0.36125000,1.45365828,1.30547792,1.89771879
0.36375000,1.45365956,1.30547258,1.89771269
0.36625000,1.45366078,1.30546739,1.89770674
0.36875000,1.45366194,1.30546235,1.89770093
0.37125000,1.45366304,1.30545746,1.89769525
0.37375000,1.45366407,1.30545270,1.89768970
0.37625000,1.45366506,1.30544808,1.89768426
0.37875000,1.45366599,1.30544359,1.89767895
0.38125000,1.45366687,1.30543922,1.89767374
0.38375000,1.45366770,1.30543497,1.89766865
0.38625000,1.45366848,1.30543083,1.89766365
0.38875000,1.45366922,1.30542680,1.89765876
0.39125000,1.45366991,1.30542287,1.89765395
0.39375000,1.45367056,1.30541905,1.89764924
0.39625000,1.45367117,1.30541532,1.89764461
0.39875000,1.45367174,1.30541168,1.89764007
0.40125000,1.45367227,1.30540813,1.89763560
0.40375000,1.45367276,1.30540467,1.89763121
0.40625000,1.45367321,1.30540129,1.89762689
0.40875000,1.45367363,1.30539799,1.89762264
0.41125000,1.45367402,1.30539476,1.89761845
0.41375000,1.45367438,1.30539161,1.89761433
0.41625000,1.45367470,1.30538852,1.89761027
0.41875000,1.45367500,1.30538550,1.89760627
0.42125000,1.45367526,1.30538255,1.89760232
0.42375000,1.45367550,1.30537966,1.89759842
0.42625000,1.45367570,1.30537683,1.89759458
0.42875000,1.45367589,1.30537405,1.89759078
0.43125000,1.45367604,1.30537133,1.89758703
0.43375000,1.45367617,1.30536866,1.89758332
0.43625000,1.45367628,1.30536604,1.89757965
0.43875000,1.45367636,1.30536347,1.89757602
0.44125000,1.45367643,1.30536094,1.89757243
0.44375000,1.45367646,1.30535846,1.89756887
0.44625000,1.45367648,1.30535602,1.89756535
0.44875000,1.45367648,1.30535362,1.89756186
0.45125000,1.45367645,1.30535126,1.89755840
0.45375000,1.45367641,1.30534894,1.89755496
0.45625000,1.45367635,1.30534665,1.89755156
0.45875000,1.45367627,1.30534440,1.89754818
0.46125000,1.45367617,1.30534218,1.89754483
0.46375000,1.45367606,1.30533999,1.89754149
0.46625000,1.45367592,1.30533784,1.89753818
0.46875000,1.45367577,1.30533570,1.89753489
0.47125000,1.45367561,1.30533360,1.89753162
0.47375000,1.45367543,1.30533152,1.89752836
0.47625000,1.45367523,1.30532947,1.89752512
0.47875000,1.45367502,1.30532744,1.89752190
0.48125000,1.45367480,1.30532544,1.89751869
0.48375000,1.45367456,1.30532345,1.89751549
0.48625000,1.45367431,1.30532149,1.89751231
0.48875000,1.45367404,1.30531954,1.89750913
0.49125000,1.45367376,1.30531761,1.89750597
0.49375000,1.45367347,1.30531570,1.89750281
0.49625000,1.45367317,1.30531381,1.89749966
0.49875000,1.45367285,1.30531193,1.89749652
0.50125000,1.45367253,1.30531007,1.89749338
0.50375000,1.45367219,1.30530822,1.89749025
0.50625000,1.45367184,1.30530638,1.89748713
0.50875000,1.45367147,1.30530456,1.89748400
0.51125000,1.45367110,1.30530274,1.89748088
0.51375000,1.45367072,1.30530094,1.89747776
0.51625000,1.45367033,1.30529915,1.89747464
0.51875000,1.45366993,1.30529737,1.89747153
0.52125000,1.45366951,1.30529559,1.89746841
0.52375000,1.45366909,1.30529382,1.89746529
0.52625000,1.45366866,1.30529207,1.89746217
0.52875000,1.45366822,1.30529031,1.89745904
0.53125000,1.45366777,1.30528857,1.89745591
0.53375000,1.45366731,1.30528682,1.89745278
0.53625000,1.45366684,1.30528509,1.89744965
0.53875000,1.45366636,1.30528335,1.89744651
0.54125000,1.45366588,1.30528163,1.89744336
0.54375000,1.45366538,1.30527990,1.89744021
0.54625000,1.45366488,1.30527818,1.89743704
0.54875000,1.45366437,1.30527646,1.89743388
0.55125000,1.45366385,1.30527474,1.89743070
0.55375000,1.45366333,1.30527302,1.89742752
0.55625000,1.45366279,1.30527130,1.89742432
0.55875000,1.45366225,1.30526958,1.89742112
0.56125000,1.45366170,1.30526787,1.89741791
0.56375000,1.45366114,1.30526615,1.89741468
0.56625000,1.45366058,1.30526443,1.89741145
0.56875000,1.45366001,1.30526271,1.89740820
0.57125000,1.45365943,1.30526099,1.89740494
0.57375000,1.45365884,1.30525926,1.89740167
0.57625000,1.45365825,1.30525754,1.89739838
0.57875000,1.45365765,1.30525581,1.89739509
0.58125000,1.45365704,1.30525407,1.89739177
0.58375000,1.45365643,1.30525234,1.89738844
0.58625000,1.45365580,1.30525059,1.89738510
0.58875000,1.45365518,1.30524885,1.89738174
0.59125000,1.45365454,1.30524710,1.89737837
0.59375000,1.45365390,1.30524534,1.89737498
0.59625000,1.45365325,1.30524358,1.89737157
0.59875000,1.45365259,1.30524181,1.89736815
0.60125000,1.45365193,1.30524004,1.89736470
0.60375000,1.45365126,1.30523826,1.89736124
0.60625000,1.45365059,1.30523647,1.89735777
0.60875000,1.45364991,1.30523468,1.89735427
0.61125000,1.45364922,1.30523288,1.89735075
0.61375000,1.45364852,1.30523107,1.89734721
0.61625000,1.45364782,1.30522925,1.89734366
0.61875000,1.45364712,1.30522742,1.89734008
0.62125000,1.45364640,1.30522559,1.89733648
0.62375000,1.45364568,1.30522375,1.89733286
0.62625000,1.45364495,1.30522189,1.89732922
0.62875000,1.45364422,1.30522003,1.89732555
0.63125000,1.45364348,1.30521816,1.89732186
0.63375000,1.45364273,1.30521628,1.89731815
0.63625000,1.45364198,1.30521438,1.89731442
0.63875000,1.45364122,1.30521248,1.89731066
0.64125000,1.45364045,1.30521057,1.89730688
0.64375000,1.45363968,1.30520864,1.89730307
0.64625000,1.45363890,1.30520671,1.89729924
0.64875000,1.45363811,1.30520476,1.89729538
0.65125000,1.45363732,1.30520280,1.89729150
0.65375000,1.45363652,1.30520083,1.89728759
0.65625000,1.45363571,1.30519884,1.89728365
0.65875000,1.45363490,1.30519684,1.89727968
0.66125000,1.45363408,1.30519483,1.89727569
0.66375000,1.45363325,1.30519281,1.89727167
0.66625000,1.45363242,1.30519077,1.89726762
0.66875000,1.45363158,1.30518872,1.89726354
0.67125000,1.45363073,1.30518666,1.89725944
0.67375000,1.45362988,1.30518458,1.89725530
0.67625000,1.45362902,1.30518248,1.89725113
0.67875000,1.45362815,1.30518037,1.89724693
0.68125000,1.45362728,1.30517825,1.89724270
0.68375000,1.45362640,1.30517611,1.89723844
0.68625000,1.45362551,1.30517395,1.89723415
0.68875000,1.45362461,1.30517178,1.89722982
0.69125000,1.45362371,1.30516960,1.89722546
0.69375000,1.45362280,1.30516739,1.89722107
0.69625000,1.45362188,1.30516517,1.89721664
0.69875000,1.45362095,1.30516293,1.89721218
0.70125000,1.45362002,1.30516068,1.89720769
0.70375000,1.45361908,1.30515840,1.89720316
0.70625000,1.45361813,1.30515611,1.89719859
0.70875000,1.45361717,1.30515381,1.89719398
0.71125000,1.45361621,1.30515148,1.89718934
0.71375000,1.45361524,1.30514913,1.89718466
0.71625000,1.45361426,1.30514677,1.89717995
0.71875000,1.45361327,1.30514438,1.89717519
0.72125000,1.45361227,1.30514198,1.89717040
0.72375000,1.45361127,1.30513955,1.89716556
0.72625000,1.45361026,1.30513711,1.89716069
0.72875000,1.45360924,1.30513465,1.89715577
0.73125000,1.45360821,1.30513216,1.89715082
0.73375000,1.45360717,1.30512965,1.89714582
0.73625000,1.45360612,1.30512713,1.89714078
0.73875000,1.45360507,1.30512458,1.89713569
0.74125000,1.45360400,1.30512200,1.89713057
0.74375000,1.45360293,1.30511941,1.89712540
0.74625000,1.45360185,1.30511679,1.89712018
0.74875000,1.45360076,1.30511415,1.89711492
0.75125000,1.45359965,1.30511149,1.89710961
0.75375000,1.45359854,1.30510880,1.89710425
0.75625000,1.45359742,1.30510609,1.89709885
0.75875000,1.45359630,1.30510335,1.89709340
0.76125000,1.45359516,1.30510059,1.89708790
0.76375000,1.45359401,1.30509780,1.89708235
0.76625000,1.45359285,1.30509499,1.89707675
0.76875000,1.45359168,1.30509215,1.89707110
0.77125000,1.45359050,1.30508929,1.89706539
0.77375000,1.45358931,1.30508640,1.89705964
0.77625000,1.45358811,1.30508348,1.89705383
0.77875000,1.45358690,1.30508053,1.89704797
0.78125000,1.45358568,1.30507756,1.89704205
0.78375000,1.45358445,1.30507456,1.89703608
0.78625000,1.45358320,1.30507152,1.89703005
0.78875000,1.45358195,1.30506846,1.89702396
0.79125000,1.45358068,1.30506537,1.89701781
0.79375000,1.45357940,1.30506225,1.89701161
0.79625000,1.45357811,1.30505910,1.89700534
0.79875000,1.45357681,1.30505592,1.89699902
0.80125000,1.45357550,1.30505271,1.89699263
0.80375000,1.45357417,1.30504946,1.89698618
0.80625000,1.45357283,1.30504618,1.89697967
0.80875000,1.45357148,1.30504287,1.89697309
0.81125000,1.45357011,1.30503952,1.89696645
0.81375000,1.45356874,1.30503614,1.89695974
0.81625000,1.45356735,1.30503273,1.89695296
0.81875000,1.45356594,1.30502928,1.89694612
0.82125000,1.45356452,1.30502579,1.89693920
0.82375000,1.45356309,1.30502227,1.89693221
0.82625000,1.45356165,1.30501872,1.89692515
0.82875000,1.45356019,1.30501512,1.89691802
0.83125000,1.45355871,1.30501149,1.89691081
0.83375000,1.45355722,1.30500781,1.89690353
0.83625000,1.45355572,1.30500410,1.89689617
0.83875000,1.45355420,1.30500035,1.89688874
0.84125000,1.45355266,1.30499656,1.89688122
0.84375000,1.45355111,1.30499272,1.89687362
0.84625000,1.45354955,1.30498885,1.89686594
0.84875000,1.45354796,1.30498493,1.89685818
0.85125000,1.45354636,1.30498097,1.89685034
0.85375000,1.45354475,1.30497696,1.89684240
0.85625000,1.45354311,1.30497291,1.89683439
0.85875000,1.45354146,1.30496882,1.89682628
0.86125000,1.45353979,1.30496469,1.89681809
0.86375000,1.45353809,1.30496052,1.89680982
0.86625000,1.45353636,1.30495633,1.89680149
0.86875000,1.45353460,1.30495216,1.89679311
0.87125000,1.45353277,1.30494804,1.89678474
0.87375000,1.45353084,1.30494409,1.89677648
0.87625000,1.45352873,1.30494049,1.89676850
0.87875000,1.45352634,1.30493755,1.89676109
0.88125000,1.45352344,1.30493579,1.89675476
0.88375000,1.45351972,1.30493607,1.89675031
0.88625000,1.45351467,1.30493969,1.89674899
0.88875000,1.45350754,1.30494859,1.89675263
0.89125000,1.45349728,1.30496554,1.89676386
0.89375000,1.45348243,1.30499427,1.89678624
0.89625000,1.45346114,1.30503963,1.89682438
0.89875000,1.45343113,1.30510751,1.89688389
0.90125000,1.45338980,1.30520467,1.89697116
0.90375000,1.45333443,1.30533819,1.89709294
0.90625000,1.45326244,1.30551479,1.89725560
