delta_k,peak_i2,z_at_peak,final_i2,final_conversion,power_drift
0.0,0.9999999729097289,10.0,0.9999999729097289,0.9999999917553769,7.23693005522108e-08
1.5,0.48024964025037487,1.1611611611611612,0.3370541100353352,0.3370541137415858,1.2210741529017355e-08
4.0,0.17156478849613213,9.82982982982983,0.1457780823163092,0.14577808347302001,7.986210470711796e-09
8.0,0.05572785610420805,4.824824824824825,0.055338797860284936,0.05533879809646275,4.267852182771037e-09
