Hmax_A_per_m,Bsat_T,Br_pos_T,Br_neg_T,Hc_pos_A_per_m,Hc_neg_A_per_m,mu_diff_origin_H_per_m,loop_area_BdH,sat_ratio_absM_over_Ms
300.0,2.0109962894158984,1.2355149951347042,-1.2355149951347042,186.26651345812525,-186.26651345812525,0.004813495106050569,1151.2573315411096,1.0
500.0,2.0112476168281854,1.2545846891834294,-1.2545846891834294,190.4543286946742,-190.4543286946742,0.004722221008252613,1440.9774144307626,1.0
800.0,2.0116246079466165,1.2816300385597867,-1.2816300385597867,196.709103356238,-196.709103356238,0.004592367799234451,1572.4488160699686,1.0
1200.0,2.0121272627711906,1.3149455621462436,-1.3149455621462436,204.9758238133689,-204.9758238133689,0.004434341005396875,1649.7787263087566,1.0
1600.0,2.012629917595765,1.345380427887386,-1.345380427887386,213.13550616790678,-213.13550616790678,0.0042938167041177006,1717.8450495410525,1.0
